Wteam,Lteam,Home,Neutral,Away
2016_1112,2016_1114,0,1,0
2016_1112,2016_1122,0,1,0
2016_1112,2016_1124,0,1,0
2016_1112,2016_1138,0,1,0
2016_1112,2016_1139,0,1,0
2016_1112,2016_1143,0,1,0
2016_1112,2016_1151,0,1,0
2016_1112,2016_1153,0,1,0
2016_1112,2016_1160,0,1,0
2016_1112,2016_1163,0,1,0
2016_1112,2016_1167,0,1,0
2016_1112,2016_1173,0,1,0
2016_1112,2016_1181,0,1,0
2016_1112,2016_1192,0,1,0
2016_1112,2016_1195,0,1,0
2016_1112,2016_1201,0,1,0
2016_1112,2016_1211,0,1,0
2016_1112,2016_1214,0,1,0
2016_1112,2016_1218,0,1,0
2016_1112,2016_1221,0,1,0
2016_1112,2016_1231,0,1,0
2016_1112,2016_1233,0,1,0
2016_1112,2016_1234,0,1,0
2016_1112,2016_1235,0,1,0
2016_1112,2016_1242,0,1,0
2016_1112,2016_1246,0,1,0
2016_1112,2016_1268,0,1,0
2016_1112,2016_1274,0,1,0
2016_1112,2016_1276,0,1,0
2016_1112,2016_1277,0,1,0
2016_1112,2016_1292,0,1,0
2016_1112,2016_1314,0,1,0
2016_1112,2016_1320,0,1,0
2016_1112,2016_1323,0,1,0
2016_1112,2016_1328,0,1,0
2016_1112,2016_1332,0,1,0
2016_1112,2016_1333,0,1,0
2016_1112,2016_1338,0,1,0
2016_1112,2016_1344,0,1,0
2016_1112,2016_1345,0,1,0
2016_1112,2016_1355,0,1,0
2016_1112,2016_1371,0,1,0
2016_1112,2016_1372,0,1,0
2016_1112,2016_1380,0,1,0
2016_1112,2016_1386,0,1,0
2016_1112,2016_1392,0,1,0
2016_1112,2016_1393,0,1,0
2016_1112,2016_1396,0,1,0
2016_1112,2016_1400,0,1,0
2016_1112,2016_1401,0,1,0
2016_1112,2016_1403,0,1,0
2016_1112,2016_1409,0,1,0
2016_1112,2016_1421,0,1,0
2016_1112,2016_1423,0,1,0
2016_1112,2016_1425,0,1,0
2016_1112,2016_1428,0,1,0
2016_1112,2016_1433,0,1,0
2016_1112,2016_1435,0,1,0
2016_1112,2016_1437,0,1,0
2016_1112,2016_1438,0,1,0
2016_1112,2016_1451,0,1,0
2016_1112,2016_1452,0,1,0
2016_1112,2016_1453,0,1,0
2016_1112,2016_1455,0,1,0
2016_1112,2016_1458,0,1,0
2016_1112,2016_1462,0,1,0
2016_1112,2016_1463,0,1,0
2016_1114,2016_1122,0,1,0
2016_1114,2016_1124,0,1,0
2016_1114,2016_1138,0,1,0
2016_1114,2016_1139,0,1,0
2016_1114,2016_1143,0,1,0
2016_1114,2016_1151,0,1,0
2016_1114,2016_1153,0,1,0
2016_1114,2016_1160,0,1,0
2016_1114,2016_1163,0,1,0
2016_1114,2016_1167,0,1,0
2016_1114,2016_1173,0,1,0
2016_1114,2016_1181,0,1,0
2016_1114,2016_1192,0,1,0
2016_1114,2016_1195,0,1,0
2016_1114,2016_1201,0,1,0
2016_1114,2016_1211,0,1,0
2016_1114,2016_1214,0,1,0
2016_1114,2016_1218,0,1,0
2016_1114,2016_1221,0,1,0
2016_1114,2016_1231,0,1,0
2016_1114,2016_1233,0,1,0
2016_1114,2016_1234,0,1,0
2016_1114,2016_1235,0,1,0
2016_1114,2016_1242,0,1,0
2016_1114,2016_1246,0,1,0
2016_1114,2016_1268,0,1,0
2016_1114,2016_1274,0,1,0
2016_1114,2016_1276,0,1,0
2016_1114,2016_1277,0,1,0
2016_1114,2016_1292,0,1,0
2016_1114,2016_1314,0,1,0
2016_1114,2016_1320,0,1,0
2016_1114,2016_1323,0,1,0
2016_1114,2016_1328,0,1,0
2016_1114,2016_1332,0,1,0
2016_1114,2016_1333,0,1,0
2016_1114,2016_1338,0,1,0
2016_1114,2016_1344,0,1,0
2016_1114,2016_1345,0,1,0
2016_1114,2016_1355,0,1,0
2016_1114,2016_1371,0,1,0
2016_1114,2016_1372,0,1,0
2016_1114,2016_1380,0,1,0
2016_1114,2016_1386,0,1,0
2016_1114,2016_1392,0,1,0
2016_1114,2016_1393,0,1,0
2016_1114,2016_1396,0,1,0
2016_1114,2016_1400,0,1,0
2016_1114,2016_1401,0,1,0
2016_1114,2016_1403,0,1,0
2016_1114,2016_1409,0,1,0
2016_1114,2016_1421,0,1,0
2016_1114,2016_1423,0,1,0
